2026-01-31 10:57:56,372 | INFO | avature | Consultando o subdominio tesco.avature.net - 700
2026-01-31 10:57:56,742 | INFO | avature | Consultando o subdominio tesco.avature.net - 710
2026-01-31 10:57:57,118 | INFO | avature | Consultando o subdominio tesco.avature.net - 720
2026-01-31 10:57:57,491 | INFO | avature | Consultando o subdominio tesco.avature.net - 730
2026-01-31 10:57:57,863 | INFO | avature | Consultando o subdominio tesco.avature.net - 740
2026-01-31 10:57:58,263 | INFO | avature | Consultando o subdominio tesco.avature.net - 750
2026-01-31 10:57:58,634 | INFO | avature | Consultando o subdominio tesco.avature.net - 760
2026-01-31 10:57:59,009 | INFO | avature | Consultando o subdominio tesco.avature.net - 770
2026-01-31 10:57:59,614 | INFO | avature | Consultando o subdominio tesco.avature.net - 780
2026-01-31 10:57:59,991 | INFO | avature | Consultando o subdominio tesco.avature.net - 790
2026-01-31 10:58:00,381 | INFO | avature | Consultando o subdominio tesco.avature.net - 800
2026-01-31 10:58:00,950 | INFO | avature | Consultando o subdominio tesco.avature.net - 810
2026-01-31 10:58:01,361 | INFO | avature | Consultando o subdominio tesco.avature.net - 820
2026-01-31 10:58:01,732 | INFO | avature | Consultando o subdominio tesco.avature.net - 830
2026-01-31 10:58:02,105 | INFO | avature | Consultando o subdominio tesco.avature.net - 840
2026-01-31 10:58:02,497 | INFO | avature | Consultando o subdominio tesco.avature.net - 850
2026-01-31 10:58:02,874 | INFO | avature | Consultando o subdominio tesco.avature.net - 860
2026-01-31 10:58:03,250 | INFO | avature | Consultando o subdominio tesco.avature.net - 870
2026-01-31 10:58:03,630 | INFO | avature | Consultando o subdominio tesco.avature.net - 880
2026-01-31 10:58:04,002 | INFO | avature | Consultando o subdominio tesco.avature.net - 890
2026-01-31 10:58:04,372 | INFO | avature | Consultando o subdominio tesco.avature.net - 900
2026-01-31 10:58:04,747 | INFO | avature | Consultando o subdominio tesco.avature.net - 910
2026-01-31 10:58:05,124 | INFO | avature | Consultando o subdominio tesco.avature.net - 920
2026-01-31 10:58:05,740 | INFO | avature | Consultando o subdominio tesco.avature.net - 930
2026-01-31 10:58:06,108 | INFO | avature | Consultando o subdominio tesco.avature.net - 940
2026-01-31 10:58:06,478 | INFO | avature | Consultando o subdominio tesco.avature.net - 950
2026-01-31 10:58:06,847 | INFO | avature | Consultando o subdominio tesco.avature.net - 960
2026-01-31 10:58:07,240 | INFO | avature | Consultando o subdominio tesco.avature.net - 970
2026-01-31 10:58:07,624 | INFO | avature | Consultando o subdominio tesco.avature.net - 980
